"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
Olhos-d'Água/MG,MG,314545,3725,3051,674,"18,09%",4202,3694,508,"12,09%","33,18%",
Ibatiba/ES,ES,320245,16675,13690,2985,"17,90%",20139,17704,2435,"12,09%","32,46%",
Engenheiro Caldas/MG,MG,312370,7556,6185,1371,"18,14%",10373,9118,1255,"12,10%","33,32%",
Piçarra/PA,PA,150563,8467,6588,1879,"22,19%",9442,8299,1143,"12,11%","45,45%",
Fervedouro/MG,MG,312595,7577,6397,1180,"15,57%",8398,7381,1017,"12,11%","22,24%",
Ibiaí/MG,MG,312960,5651,4594,1057,"18,70%",4930,4333,597,"12,11%","35,26%",
Uruana de Minas/MG,MG,317047,2408,1976,432,"17,94%",2643,2323,320,"12,11%","32,51%",
Cândido de Abreu/PR,PR,410440,12233,10252,1976,"16,15%",12231,10750,1481,"12,11%","25,04%",
Itambaracá/PR,PR,411100,5245,4434,811,"15,46%",4881,4290,591,"12,11%","21,69%",
Santa Isabel/GO,GO,521935,2966,2550,416,"14,03%",2948,2591,357,"12,11%","13,66%",
Abreulândia/TO,TO,170025,1637,1418,219,"13,38%",1979,1739,240,"12,13%","9,35%",
Itaberaba/BA,BA,291470,45179,37063,8116,"17,96%",51493,45247,6246,"12,13%","32,48%",
Acre,AC,#N/A,486329,406080,80249,"16,50%",608858,535023,73835,"12,13%","26,51%",
Bom Jesus do Tocantins/TO,TO,170330,2556,2173,383,"14,98%",2956,2597,359,"12,14%","18,95%",
Garanhuns/PE,PE,260600,95009,78320,16689,"17,57%",111505,97942,13563,"12,16%","30,75%",
Rio Maria/PA,PA,150616,12777,10727,2050,"16,04%",14240,12505,1735,"12,18%","24,06%",
Araçuaí/MG,MG,310340,26846,22187,4659,"17,35%",27872,24477,3395,"12,18%","29,81%",
Chapada Gaúcha/MG,MG,311615,7387,6149,1238,"16,76%",9207,8086,1121,"12,18%","27,35%",
Mesquita/MG,MG,314170,4692,3795,897,"19,12%",4156,3650,506,"12,18%","36,31%",
Uruará/PA,PA,150815,30074,25529,4545,"15,11%",31938,28046,3892,"12,19%","19,37%",
Conceição de Ipanema/MG,MG,311740,3498,2962,536,"15,32%",3650,3205,445,"12,19%","20,43%",
Santana de Pirapama/MG,MG,315850,6183,5085,1098,"17,76%",6006,5274,732,"12,19%","31,37%",
Cantagalo/MG,MG,311205,3094,2618,476,"15,38%",3152,2767,385,"12,21%","20,61%",
Sapopema/PR,PR,412620,4990,4143,847,"16,97%",5448,4782,666,"12,22%","27,98%",
Guaraciama/MG,MG,312825,3578,2950,628,"17,55%",4097,3596,501,"12,23%","30,33%",
Itaverava/MG,MG,313390,4395,3711,684,"15,56%",4702,4127,575,"12,23%","21,42%",
Barra do Turvo/SP,SP,350540,5479,4542,937,"17,10%",5411,4749,662,"12,23%","28,46%",
Arapuã/PR,PR,410165,2773,2313,460,"16,59%",2912,2556,356,"12,23%","26,30%",
Anamã/AM,AM,130008,6299,5299,1000,"15,88%",6877,6035,842,"12,24%","22,88%",
Igarapé-Açu/PA,PA,150320,25100,21191,3909,"15,57%",27740,24343,3397,"12,25%","21,37%",
Carolina/MA,MA,210280,16615,14101,2514,"15,13%",18345,16097,2248,"12,25%","19,01%",
Mutum/MG,MG,314400,20302,16616,3686,"18,16%",22240,19515,2725,"12,25%","32,51%",
Luiziana/PR,PR,411373,5475,4674,801,"14,63%",5264,4619,645,"12,25%","16,25%",
Moreira Sales/PR,PR,411610,9825,8270,1555,"15,83%",9234,8103,1131,"12,25%","22,61%",
Mirinzal/MA,MA,210680,9739,8107,1632,"16,76%",10649,9343,1306,"12,26%","26,81%",
Sem-Peixe/MG,MG,316556,2301,1942,359,"15,60%",2105,1847,258,"12,26%","21,44%",
Damianópolis/GO,GO,520670,2510,2020,490,"19,52%",3011,2642,369,"12,26%","37,22%",
São Gonçalo do Amarante/CE,CE,231240,31976,25523,6453,"20,18%",41825,36691,5134,"12,27%","39,17%",
União de Minas/MG,MG,317043,3422,2939,483,"14,11%",3105,2724,381,"12,27%","13,06%",
Mariluz/PR,PR,411510,7663,6325,1338,"17,46%",7809,6851,958,"12,27%","29,74%",
São Geraldo do Araguaia/PA,PA,150745,17415,14150,3265,"18,75%",17832,15643,2189,"12,28%","34,52%",
Carpina/PE,PE,260400,56630,47500,9130,"16,12%",63612,55798,7814,"12,28%","23,81%",
Iaciara/GO,GO,520990,8609,6931,1678,"19,49%",8182,7177,1005,"12,28%","36,98%",
Itabirinha/MG,MG,313180,8168,6498,1670,"20,45%",8403,7370,1033,"12,29%","39,87%",
Tapira/PR,PR,412690,4633,3989,644,"13,90%",4728,4147,581,"12,29%","11,60%",
Carlinda/MT,MT,510279,8149,6876,1273,"15,62%",8199,7191,1008,"12,29%","21,30%",
Rio Espera/MG,MG,315520,4700,4074,626,"13,32%",4687,4110,577,"12,31%","7,57%",
Novo Alegre/TO,TO,171515,1683,1451,232,"13,78%",1485,1302,183,"12,32%","10,60%",
Joanésia/MG,MG,313610,4232,3416,816,"19,28%",3708,3251,457,"12,32%","36,08%",
Sabinópolis/MG,MG,315680,11648,9587,2061,"17,69%",11611,10181,1430,"12,32%","30,40%",
Mucajaí/RR,RR,140030,9829,8138,1691,"17,20%",12673,11110,1563,"12,33%","28,31%",
Arcoverde/PE,PE,260120,50084,41283,8801,"17,57%",60614,53138,7476,"12,33%","29,81%",
Nova Olinda/TO,TO,171488,7431,6156,1275,"17,16%",7831,6865,966,"12,34%","28,11%",
Ipojuca/PE,PE,260720,57019,45249,11770,"20,64%",75556,66214,9342,"12,36%","40,10%",
Alvarães/AM,AM,130002,7805,6201,1604,"20,55%",10334,9056,1278,"12,37%","39,82%",
Parelhas/RN,RN,240890,15449,12793,2656,"17,19%",17168,15044,2124,"12,37%","28,04%",
Lagoa dos Patos/MG,MG,313730,3090,2596,494,"15,99%",2628,2303,325,"12,37%","22,64%",
Entre Rios/BA,BA,291050,28111,23032,5079,"18,07%",29968,26257,3711,"12,38%","31,46%",
Paulo Afonso/BA,BA,292400,80394,66970,13424,"16,70%",88696,77714,10982,"12,38%","25,85%",
Oliveira Fortes/MG,MG,314570,1679,1403,276,"16,44%",1664,1458,206,"12,38%","24,69%",
Japurá/AM,AM,130210,4310,3102,1208,"28,03%",5578,4887,691,"12,39%","55,80%",
Barbalha/CE,CE,230190,40383,32835,7548,"18,69%",57786,50626,7160,"12,39%","33,71%",
Santa Inês/MA,MA,210990,53921,44430,9491,"17,60%",65005,56936,8069,"12,41%","29,48%",
Salinas/MG,MG,315700,30035,24845,5190,"17,28%",32906,28818,4088,"12,42%","28,11%",
Montanha/ES,ES,320350,13667,11290,2377,"17,39%",15020,13154,1866,"12,42%","28,57%",
Sucupira/TO,TO,172085,1219,1033,186,"15,26%",1231,1078,153,"12,43%","18,54%",
Icaraí de Minas/MG,MG,313005,7708,6527,1181,"15,32%",8495,7439,1056,"12,43%","18,87%",
Jaíba/MG,MG,313505,23458,19168,4290,"18,29%",28141,24644,3497,"12,43%","32,05%",
Mazagão/AP,AP,160040,9983,7860,2123,"21,27%",14915,13059,1856,"12,44%","41,49%",
Guaraciaba/MG,MG,312820,8116,6664,1452,"17,89%",8270,7241,1029,"12,44%","30,45%",
Serro/MG,MG,316710,14779,12019,2760,"18,68%",17931,15696,2235,"12,46%","33,26%",
Ibitirama/ES,ES,320255,6433,5208,1225,"19,04%",7378,6459,919,"12,46%","34,59%",
Iretama/PR,PR,411080,8029,6681,1348,"16,79%",8644,7567,1077,"12,46%","25,79%",
Uiramutã/RR,RR,140070,4082,2925,1151,"28,20%",6976,6106,870,"12,47%","55,77%",
Moju/PA,PA,150470,44133,35859,8274,"18,75%",60793,53211,7582,"12,47%","33,48%",
Inaciolândia/GO,GO,520993,4297,3459,838,"19,50%",4789,4192,597,"12,47%","36,08%",
São João do Caiuá/PR,PR,412490,4527,3930,597,"13,19%",4477,3918,559,"12,49%","5,32%",
Axixá/MA,MA,210110,7787,6515,1272,"16,33%",8983,7860,1123,"12,50%","23,47%",
Capelinha/MG,MG,311230,24641,19975,4666,"18,94%",31296,27384,3912,"12,50%","33,99%",
Tunas do Paraná/PR,PR,412788,4158,3399,759,"18,25%",4616,4039,577,"12,50%","31,52%",
Mirabela/MG,MG,314200,9687,8002,1685,"17,39%",11080,9694,1386,"12,51%","28,09%",
São Francisco/MG,MG,316110,37258,30782,6476,"17,38%",40759,35661,5098,"12,51%","28,04%",
Mãe do Rio/PA,PA,150405,18917,15588,3329,"17,60%",25997,22740,3257,"12,53%","28,81%",
Luislândia/MG,MG,313868,4500,3628,872,"19,38%",4876,4265,611,"12,53%","35,33%",
Primavera de Rondônia/RO,RO,110147,2564,2220,344,"13,42%",2417,2114,303,"12,54%","6,56%",
Felício dos Santos/MG,MG,312540,3712,3065,647,"17,43%",4179,3655,524,"12,54%","28,06%",
São Gonçalo do Rio Preto/MG,MG,312550,2281,1861,420,"18,41%",2560,2239,321,"12,54%","31,90%",
Senhor do Bonfim/BA,BA,293010,55180,46179,9001,"16,31%",59211,51781,7430,"12,55%","23,07%",
Rodelas/BA,BA,292710,5405,4205,1200,"22,20%",7514,6570,944,"12,56%","43,41%",
Barra Longa/MG,MG,310570,4914,4133,781,"15,89%",4784,4183,601,"12,56%","20,96%",
Adrianópolis/PR,PR,410020,4607,3832,775,"16,82%",4946,4325,621,"12,56%","25,36%",
Almeirim/PA,PA,150050,21754,18754,3000,"13,79%",23934,20923,3011,"12,58%","8,78%",
Ramilândia/PR,PR,412125,3025,2560,465,"15,37%",3299,2884,415,"12,58%","18,17%",
Nova Roma/GO,GO,521490,2550,2038,512,"20,08%",2448,2140,308,"12,58%","37,34%",
Curimatá/PI,PI,220320,7481,6100,1381,"18,46%",8663,7572,1091,"12,59%","31,78%",
Vitória do Jari/AP,AP,160080,7729,6591,1138,"14,72%",7792,6810,982,"12,60%","14,41%",
Ipupiara/BA,BA,291410,7128,5996,1132,"15,88%",8087,7068,1019,"12,60%","20,66%",
Bahia,BA,#N/A,10426813,8697393,1729297,"16,59%",11278555,9857608,1420947,"12,60%","24,04%",
Serrinha/BA,BA,293050,56546,46928,9618,"17,01%",63641,55608,8033,"12,62%","25,79%",
Presidente Kennedy/ES,ES,320430,7878,6530,1348,"17,11%",10718,9364,1354,"12,63%","26,17%",
Araguacema/TO,TO,170190,4341,3631,710,"16,36%",4533,3960,573,"12,64%","22,71%",
Sete Quedas/MS,MS,500770,7977,6509,1468,"18,40%",8620,7529,1091,"12,66%","31,22%",
Araguanã/TO,TO,170215,3381,2778,603,"17,83%",3252,2840,412,"12,67%","28,96%",
Pindorama do Tocantins/TO,TO,171700,3157,2690,467,"14,79%",3418,2985,433,"12,67%","14,36%",
Itacuruba/PE,PE,260740,3019,2368,651,"21,56%",3248,2836,412,"12,68%","41,17%",
Pingo-d'Água/MG,MG,315053,3246,2678,568,"17,50%",3752,3276,476,"12,69%","27,50%",
Benjamin Constant/AM,AM,130060,19762,15436,4325,"21,89%",24019,20968,3051,"12,70%","41,96%",
Jacobina/BA,BA,291750,58906,48560,10346,"17,56%",65249,56961,8288,"12,70%","27,68%",
Farol/PR,PR,410755,2649,2255,394,"14,87%",2481,2166,315,"12,70%","14,64%",
Itapirapuã/GO,GO,521100,6083,5072,1011,"16,62%",6601,5763,838,"12,70%","23,62%",
São João do Oriente/MG,MG,316260,6086,5082,1004,"16,50%",5844,5101,743,"12,71%","22,93%",
Uirapuru/GO,GO,522157,2198,1803,395,"17,97%",2298,2006,292,"12,71%","29,29%",
Maruim/SE,SE,280400,11570,9527,2043,"17,66%",11893,10380,1513,"12,72%","27,95%",
Frei Inocêncio/MG,MG,312690,6533,5384,1149,"17,59%",6686,5835,851,"12,73%","27,63%",
Alto Rio Novo/ES,ES,320035,5485,4552,933,"17,01%",5979,5218,761,"12,73%","25,17%",
Taguatinga/TO,TO,172090,10741,8679,2062,"19,20%",11082,9670,1412,"12,74%","33,63%",
Pancas/ES,ES,320400,16123,13291,2832,"17,56%",15398,13437,1961,"12,74%","27,50%",
Nova Cantu/PR,PR,411680,5622,4655,967,"17,20%",5493,4793,700,"12,74%","25,91%",
Mutunópolis/GO,GO,521410,2929,2407,522,"17,82%",2928,2555,373,"12,74%","28,52%",
Galiléia/MG,MG,312730,5218,4211,1007,"19,30%",4968,4334,634,"12,76%","33,87%",
Corumbataí do Sul/PR,PR,410655,3116,2517,599,"19,22%",3081,2688,393,"12,76%","33,65%",
Janiópolis/PR,PR,411220,5170,4257,913,"17,66%",4898,4273,625,"12,76%","27,74%",
Filadélfia/TO,TO,170770,5864,4748,1116,"19,03%",5975,5212,763,"12,77%","32,90%",
Ibicoara/BA,BA,291220,11978,10015,1963,"16,39%",15712,13705,2007,"12,77%","22,06%",
Bannach/PA,PA,150125,2380,1945,435,"18,28%",3004,2620,384,"12,78%","30,06%",
Bayeux/PB,PB,250180,74041,62572,11469,"15,49%",65343,56995,8348,"12,78%","17,52%",
Riachuelo/SE,SE,280590,6507,5400,1107,"17,01%",6575,5735,840,"12,78%","24,90%",
São Félix/BA,BA,292900,10900,9264,1636,"15,01%",8980,7832,1148,"12,78%","14,83%",
Arapoema/TO,TO,170230,4721,3898,823,"17,43%",4323,3770,553,"12,79%","26,62%",
Triunfo/PE,PE,261570,11420,9484,1936,"16,95%",11945,10417,1528,"12,79%","24,54%",
Mucuri/BA,BA,292200,25366,20734,4632,"18,26%",28965,25261,3704,"12,79%","29,97%",
Barbosa Ferraz/PR,PR,410250,9904,8340,1564,"15,79%",8937,7794,1143,"12,79%","19,01%",
Claro dos Poções/MG,MG,311650,6005,4993,1012,"16,85%",5875,5123,752,"12,80%","24,05%",
Cristália/MG,MG,312030,3780,3041,739,"19,55%",3945,3440,505,"12,80%","34,52%",
Nossa Senhora do Livramento/MT,MT,510610,8749,6750,1999,"22,85%",10241,8930,1311,"12,80%","43,97%",
Alvorada do Norte/GO,GO,520080,5801,4791,1010,"17,41%",6576,5734,842,"12,80%","26,46%",
Boa Vista/PB,PB,250215,4697,3945,752,"16,01%",5049,4402,647,"12,81%","19,96%",
Patos/PB,PB,251080,75547,61604,13943,"18,46%",82035,71519,10516,"12,82%","30,54%",
Mathias Lobato/MG,MG,317150,2395,1906,489,"20,42%",2385,2079,306,"12,83%","37,16%",
Vila Boa/GO,GO,522220,3332,2803,529,"15,88%",3188,2779,409,"12,83%","19,19%",
Nova Crixás/GO,GO,521483,8967,7255,1712,"19,09%",10145,8842,1303,"12,84%","32,73%",
Curionópolis/PA,PA,150277,12555,10297,2258,"17,98%",14584,12710,1874,"12,85%","28,55%",
Açailândia/MA,MA,210005,71697,59017,12680,"17,69%",80959,70544,10415,"12,86%","27,26%",
Medicilândia/PA,PA,150445,18656,15233,3423,"18,35%",19947,17379,2568,"12,87%","29,83%",
Sobral/CE,CE,231290,139156,115497,23659,"17,00%",161304,140530,20774,"12,88%","24,25%",
Leme do Prado/MG,MG,313835,3501,2891,610,"17,42%",3505,3053,452,"12,90%","25,99%",
São Pedro da Cipa/MT,MT,510740,3038,2527,511,"16,82%",3187,2776,411,"12,90%","23,33%",
Careiro da Várzea/AM,AM,130115,16071,13426,2645,"16,46%",14311,12464,1847,"12,91%","21,58%",
Ponte Alta do Tocantins/TO,TO,171790,4987,4158,829,"16,62%",5716,4978,738,"12,91%","22,33%",
Laranjeiras/SE,SE,280360,19053,16070,2983,"15,66%",18322,15956,2366,"12,91%","17,52%",
Araguainha/MT,MT,510120,850,726,124,"14,59%",821,715,106,"12,91%","11,50%",
Jauru/MT,MT,510500,7611,6303,1308,"17,19%",6648,5789,859,"12,92%","24,81%",
Imbé de Minas/MG,MG,313055,4729,3912,817,"17,28%",5570,4850,720,"12,93%","25,18%",
Careiro/AM,AM,130110,20910,18033,2877,"13,76%",21927,19089,2838,"12,94%","5,93%",
Alto Parnaíba/MA,MA,210050,7141,5628,1513,"21,19%",8276,7205,1071,"12,94%","38,92%",
Pedro Canário/ES,ES,320405,17231,14120,3111,"18,05%",16720,14555,2165,"12,95%","28,28%",
Senador Guiomard/AC,AC,120045,13575,11172,2403,"17,70%",16069,13987,2082,"12,96%","26,81%",
Floresta do Araguaia/PA,PA,150304,12066,9802,2264,"18,76%",13437,11695,1742,"12,96%","30,91%",
Pau dos Ferros/RN,RN,240940,21294,17448,3846,"18,06%",24818,21602,3216,"12,96%","28,25%",
Sapeaçu/BA,BA,292960,12478,10497,1981,"15,88%",14577,12688,1889,"12,96%","18,37%",
Ubaí/MG,MG,317000,8075,6452,1623,"20,10%",9330,8121,1209,"12,96%","35,53%",
Camacho/MG,MG,311040,2514,2185,329,"13,09%",2406,2094,312,"12,97%","0,91%",
Cruzmaltina/PR,PR,410685,2521,2089,432,"17,14%",2352,2047,305,"12,97%","24,33%",
Dois Irmãos do Tocantins/TO,TO,170720,5246,4328,918,"17,50%",4983,4336,647,"12,98%","25,80%",
Caracaraí/RR,RR,140020,11682,10126,1556,"13,32%",14478,12597,1881,"12,99%","2,46%",
Gouvelândia/GO,GO,520915,3785,3104,681,"17,99%",3480,3028,452,"12,99%","27,81%",
Coração de Jesus/MG,MG,311880,19266,15752,3514,"18,24%",20298,17659,2639,"13,00%","28,72%",
Porto Rico do Maranhão/MA,MA,210905,4286,3621,665,"15,52%",4647,4042,605,"13,02%","16,09%",
Luzinópolis/TO,TO,171245,1787,1462,325,"18,19%",2026,1762,264,"13,03%","28,35%",
Rosário do Catete/SE,SE,280610,6497,5578,919,"14,14%",7052,6133,919,"13,03%","7,87%",
Pocrane/MG,MG,315190,7140,5795,1345,"18,84%",6943,6038,905,"13,03%","30,80%",
Alvorada de Minas/MG,MG,310240,2388,1896,492,"20,60%",3267,2841,426,"13,04%","36,71%",
Marilac/MG,MG,314010,3061,2464,597,"19,50%",3402,2958,444,"13,05%","33,08%",
Cafezal do Sul/PR,PR,410347,3433,2907,526,"15,32%",3669,3190,479,"13,06%","14,79%",
Capitão Enéas/MG,MG,311270,9975,8155,1820,"18,25%",10923,9495,1428,"13,07%","28,35%",
Alpercata/MG,MG,310180,5344,4482,862,"16,13%",5694,4949,745,"13,08%","18,89%",
Joaquim Felício/MG,MG,313640,3279,2770,509,"15,52%",3132,2722,410,"13,09%","15,67%",
Paulistas/MG,MG,314840,3536,2827,709,"20,05%",3559,3093,466,"13,09%","34,70%",
Canarana/BA,BA,290620,16966,13740,3226,"19,01%",18898,16422,2476,"13,10%","31,10%",
José Gonçalves de Minas/MG,MG,313652,3216,2594,622,"19,34%",3196,2777,419,"13,11%","32,22%",
Tonantins/AM,AM,130423,9897,7927,1970,"19,91%",12090,10504,1586,"13,12%","34,10%",
Campos Lindos/TO,TO,170384,4961,3921,1040,"20,96%",6043,5249,794,"13,14%","37,32%",
Rio Largo/AL,AL,270770,48765,39843,8922,"18,30%",71363,61986,9377,"13,14%","28,18%",
Sobradinho/BA,BA,293077,15661,12781,2880,"18,39%",19414,16859,2555,"13,16%","28,43%",
Amorinópolis/GO,GO,520090,2881,2359,522,"18,12%",2576,2237,339,"13,16%","27,37%",
Santa Tereza do Tocantins/TO,TO,171900,1729,1477,252,"14,57%",1990,1728,262,"13,17%","9,67%",
Presidente Juscelino/MG,MG,315320,2968,2385,583,"19,64%",2908,2525,383,"13,17%","32,95%",
Anori/AM,AM,130010,10080,8102,1978,"19,62%",11990,10410,1580,"13,18%","32,85%",
Ibotirama/BA,BA,291320,18405,15095,3310,"17,98%",20309,17632,2677,"13,18%","26,71%",
Acari/RN,RN,240010,8625,7106,1519,"17,61%",8792,7632,1160,"13,19%","25,08%",
Cachoeira/BA,BA,290490,24018,20154,3864,"16,09%",23520,20417,3103,"13,19%","17,99%",
Cedral/MA,MA,210310,7328,6065,1263,"17,24%",8082,7015,1067,"13,20%","23,40%",
Ponto Belo/ES,ES,320425,5261,4120,1141,"21,69%",5166,4483,683,"13,22%","39,04%",
Bonópolis/GO,GO,520357,2562,2080,482,"18,81%",2620,2273,347,"13,24%","29,60%",
Santo Antônio da Barra/GO,GO,521971,3326,2707,619,"18,61%",3428,2974,454,"13,24%","28,84%",
Araponga/MG,MG,310370,6063,4714,1349,"22,25%",6551,5682,869,"13,27%","40,38%",
Santa Rita do Itueto/MG,MG,315950,4294,3492,802,"18,68%",4694,4071,623,"13,27%","28,94%",
Tasso Fragoso/MA,MA,211200,5007,4116,891,"17,80%",6400,5550,850,"13,28%","25,37%",
Corrente/PI,PI,220290,17654,14332,3322,"18,82%",20932,18152,2780,"13,28%","29,42%",
São João do Manteninha/MG,MG,316257,4041,3179,862,"21,33%",4352,3774,578,"13,28%","37,74%",
Uruçuí/PI,PI,221120,14341,11732,2609,"18,19%",19001,16473,2528,"13,30%","26,87%",
Floresta/PE,PE,260570,20423,16666,3757,"18,40%",22876,19833,3043,"13,30%","27,69%",
Gramado dos Loureiros/RS,RS,430912,1735,1513,222,"12,80%",1692,1467,225,"13,30%","-3,93%",
São Francisco de Itabapoana/RJ,RJ,330475,31447,25551,5896,"18,75%",35904,31130,4774,"13,30%","29,08%",93
Santa Fé do Araguaia/TO,TO,171886,4449,3573,876,"19,69%",5392,4673,719,"13,33%","32,28%",
Tibau/RN,RN,241105,2746,2125,621,"22,61%",4381,3797,584,"13,33%","41,05%",
Botumirim/MG,MG,310850,4535,3767,768,"16,93%",4591,3979,612,"13,33%","21,28%",
Augustinópolis/TO,TO,170255,11029,8571,2458,"22,29%",13169,11411,1758,"13,35%","40,10%",
São João do Paraíso/MA,MA,211105,7403,5837,1566,"21,15%",7571,6560,1011,"13,35%","36,87%",
Lunardelli/PR,PR,411375,4029,3375,654,"16,23%",4060,3518,542,"13,35%","17,76%",
Itacajá/TO,TO,171050,4814,3936,878,"18,24%",5008,4339,669,"13,36%","26,76%",
Jesúpolis/GO,GO,521205,1755,1480,275,"15,67%",1699,1472,227,"13,36%","14,73%",
Pirambu/SE,SE,280530,5779,4612,1167,"20,19%",6081,5268,813,"13,37%","33,79%",
Pacajá/PA,PA,150548,26070,20456,5614,"21,53%",29480,25533,3947,"13,39%","37,83%",
Sapucaia/PA,PA,150775,3517,2733,784,"22,29%",4271,3699,572,"13,39%","39,92%",
Rosário/MA,MA,210960,27383,22427,4956,"18,10%",29110,25210,3900,"13,40%","25,98%",
Júlio Borges/PI,PI,220552,3744,3064,680,"18,16%",4133,3579,554,"13,40%","26,20%",
Brasilândia do Tocantins/TO,TO,170360,1457,1212,245,"16,82%",1499,1298,201,"13,41%","20,26%",
Pernambuco,PE,#N/A,6539679,5362012,1177654,"18,01%",7164252,6203293,960959,"13,41%","25,51%",
Pium/TO,TO,171750,4755,3831,924,"19,43%",5314,4601,713,"13,42%","30,95%",
Sericita/MG,MG,316630,5288,4348,940,"17,78%",5932,5136,796,"13,42%","24,51%",
Loreto/MA,MA,210610,7896,6136,1760,"22,29%",8823,7637,1186,"13,44%","39,69%",
Guadalupe/PI,PI,220450,7508,6097,1411,"18,79%",8007,6931,1076,"13,44%","28,49%",
Godofredo Viana/MA,MA,210430,7275,6042,1233,"16,95%",7441,6440,1001,"13,45%","20,63%",
Doutor Ulysses/PR,PR,412863,4002,3308,694,"17,34%",4504,3898,606,"13,45%","22,41%",
Monjolos/MG,MG,314250,1777,1493,284,"15,98%",1828,1582,246,"13,46%","15,80%",
Ipueira/RN,RN,240480,1604,1220,384,"23,94%",1693,1465,228,"13,47%","43,75%",
Marechal Deodoro/AL,AL,270470,32336,25253,7083,"21,90%",46542,40271,6271,"13,47%","38,49%",
Nova Viçosa/BA,BA,292300,26970,21836,5134,"19,04%",30062,26012,4050,"13,47%","29,23%",
Carbonita/MG,MG,311350,6811,5523,1288,"18,91%",6951,6014,937,"13,48%","28,72%",
Juarina/TO,TO,171180,1573,1334,239,"15,19%",1712,1481,231,"13,49%","11,19%",
Tanquinho/BA,BA,293110,6043,4860,1183,"19,58%",6287,5438,849,"13,50%","31,02%",
Primavera/PA,PA,150610,7087,5607,1480,"20,88%",8343,7215,1128,"13,52%","35,26%",
Santa Cecília do Pavão/PR,PR,412320,2821,2318,503,"17,83%",2745,2374,371,"13,52%","24,20%",
Mundo Novo/GO,GO,521405,4844,3825,1019,"21,04%",5060,4376,684,"13,52%","35,74%",
Porto de Moz/PA,PA,150590,19475,15295,4180,"21,46%",28028,24232,3796,"13,54%","36,90%",
Francisco Dumont/MG,MG,312660,3527,2865,662,"18,77%",3594,3107,487,"13,55%","27,81%",
Ponte Branca/MT,MT,510670,1379,1198,181,"13,13%",1631,1410,221,"13,55%","-3,23%",
Teresina de Goiás/GO,GO,522108,2054,1722,332,"16,16%",1961,1695,266,"13,56%","16,08%",
Currais Novos/RN,RN,240310,32901,27011,5890,"17,90%",33935,29330,4605,"13,57%","24,20%",
Bernardo Sayão/TO,TO,170320,3185,2612,573,"17,99%",3259,2816,443,"13,59%","24,44%",
Goianorte/TO,TO,170830,3500,2913,587,"16,77%",3768,3256,512,"13,59%","18,98%",
Faina/GO,GO,520753,5393,4399,994,"18,43%",5881,5082,799,"13,59%","26,29%",
Concórdia do Pará/PA,PA,150275,18359,14610,3749,"20,42%",19518,16862,2656,"13,61%","33,36%",
Ananás/TO,TO,170100,6788,5480,1308,"19,27%",7871,6800,1071,"13,61%","29,39%",
Wanderlândia/TO,TO,172208,7794,6319,1475,"18,92%",7941,6860,1081,"13,61%","28,07%",
Pau D'Arco/TO,TO,171630,3234,2630,604,"18,68%",3032,2619,413,"13,62%","27,07%",
Xambioá/TO,TO,172210,8202,6731,1471,"17,93%",8069,6970,1099,"13,62%","24,06%",
Retirolândia/BA,BA,292610,9035,7299,1736,"19,21%",10787,9316,1471,"13,64%","29,03%",
Rosário Oeste/MT,MT,510770,13149,10923,2226,"16,93%",12272,10598,1674,"13,64%","19,42%",
Nova Timboteua/PA,PA,150500,9867,7888,1979,"20,06%",10255,8855,1400,"13,65%","31,93%",
Coari/AM,AM,130120,47852,39703,8149,"17,03%",48647,42003,6644,"13,66%","19,80%",
São Bento do Tocantins/TO,TO,172010,3006,2415,591,"19,66%",4203,3629,574,"13,66%","30,54%",
Natividade/TO,TO,171420,6408,5186,1222,"19,07%",6832,5898,934,"13,67%","28,31%",
Itambé do Mato Dentro/MG,MG,313280,1809,1465,344,"19,02%",1799,1553,246,"13,67%","28,09%",
Cachoeira de Goiás/GO,GO,520420,1095,939,156,"14,25%",1178,1017,161,"13,67%","4,07%",
Presidente Dutra/BA,BA,292560,10224,8648,1576,"15,41%",12314,10630,1684,"13,68%","11,28%",
São Valério/TO,TO,172049,3109,2487,622,"20,01%",3462,2988,474,"13,69%","31,56%",
Bom Jesus da Lapa/BA,BA,290390,44958,36321,8637,"19,21%",50155,43286,6869,"13,70%","28,71%",
