Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Jaguaretama,CE,Jaguaretama/CE,230670,17232,"46,61%","98,63%","45,72%"
Riachão do Jacuípe,BA,Riachão do Jacuípe/BA,292630,33386,"16,71%","98,64%","39,93%"
Santana,AP,Santana/AP,160060,107618,"54,92%","98,69%",0%
Itaboraí,RJ,Itaboraí/RJ,330190,224267,"69,97%","98,71%",3%
São José do Cedro,SC,São José do Cedro/SC,421670,14167,"12,05%","98,73%","34,21%"
Conceição da Feira,BA,Conceição da Feira/BA,290820,20800,"27,86%","98,73%","3,85%"
Camaragibe,PE,Camaragibe/PE,260345,147771,"15,25%","98,77%","0,58%"
Maricá,RJ,Maricá/RJ,330270,197277,"42,03%","98,82%","1,12%"
Paulistana,PI,Paulistana/PI,220780,21055,"32,48%","98,83%",--
São Lourenço do Oeste,SC,São Lourenço do Oeste/SC,421690,24791,"8,62%","98,84%","18,12%"
Buritirana,MA,Buritirana/MA,210235,12918,"58,20%","98,89%","72,06%"
Barra do Choça,BA,Barra do Choça/BA,290290,36539,"27,28%","98,90%","4,21%"
Paty do Alferes,RJ,Paty do Alferes/RJ,330385,29619,"34,15%","98,91%","0,77%"
Oiapoque,AP,Oiapoque/AP,160050,27482,"91,10%","98,97%","34,50%"
Cerro Azul,PR,Cerro Azul/PR,410520,16134,"38,23%",99%,--
Três Passos,RS,Três Passos/RS,432190,25436,"25,61%","99,01%","20,19%"
Missão Velha,CE,Missão Velha/CE,230840,36822,"47,30%","99,02%",--
Dois Irmãos do Tocantins,TO,Dois Irmãos do Tocantins/TO,170720,6327,"58,72%","99,21%","58,72%"
Marabá,PA,Marabá/PA,150420,266533,"59,75%","99,22%","6,20%"
Castanhal,PA,Castanhal/PA,150240,192256,"73,69%","99,22%","7,85%"
Seropédica,RJ,Seropédica/RJ,330555,80596,"0,00%","99,34%",2%
Lindolfo Collor,RS,Lindolfo Collor/RS,431162,6248,"1,47%","99,36%","1,47%"
Itaitinga,CE,Itaitinga/CE,230625,64650,"56,44%","99,36%","6,76%"
Santa Bárbara do Pará,PA,Santa Bárbara do Pará/PA,150635,21087,"31,95%","99,38%","3,95%"
Bento Gonçalves,RS,Bento Gonçalves/RS,430210,123151,"7,70%","99,43%",0%
Olho D'Água do Piauí,PI,Olho D'Água do Piauí/PI,220710,2637,"6,07%","99,43%","59,35%"
São José de Mipibu,RN,São José de Mipibu/RN,241220,47286,"50,37%","99,44%","55,59%"
Dom Eliseu,PA,Dom Eliseu/PA,150293,58484,"10,59%","99,44%","14,51%"
Imbé,RS,Imbé/RS,431033,26824,"11,61%","99,45%",0%
Ipixuna,AM,Ipixuna/AM,130180,24311,"73,67%","99,47%","34,19%"
Orós,CE,Orós/CE,230950,19675,"8,30%","99,57%","29,10%"
Videira,SC,Videira/SC,421930,55466,"8,15%","99,58%","2,64%"
Catu,BA,Catu/BA,290750,48148,"0,48%","99,79%","1,91%"
Campo Bom,RS,Campo Bom/RS,430390,62886,"13,83%","99,86%",0%
Conceição,PB,Conceição/PB,250440,18260,"30,54%","99,90%","15,95%"
Porto Belo,SC,Porto Belo/SC,421350,27688,0%,"99,96%",0%
Luís Correia,PI,Luís Correia/PI,220570,30641,"30,36%","99,96%","55,40%"
Araçás,BA,Araçás/BA,290205,11557,--,--,--
Campo Grande,RN,Campo Grande/RN,240130,9730,"41,78%",--,--
Ereré,CE,Ereré/CE,230427,6474,"47,59%",--,"41,57%"
Grão-Pará,SC,Grão-Pará/SC,420610,6277,"43,44%",--,"39,46%"
Gracho Cardoso,SE,Gracho Cardoso/SE,280260,5834,"9,37%",--,"35,08%"
Tabocão,TO,Tabocão/TO,170825,3455,"2,11%",--,"18,58%"
São Cristóvão do Sul,SC,São Cristóvão do Sul/SC,421605,6084,"24,33%",--,"17,82%"
Amparo do São Francisco,SE,Amparo do São Francisco/SE,280010,2170,"0,83%",--,"7,83%"
Vila Propício,GO,Vila Propício/GO,522230,5815,"69,85%",--,"51,85%"
Vila Boa,GO,Vila Boa/GO,522220,4215,"12,55%",--,--
Vicentinópolis,GO,Vicentinópolis/GO,522205,8768,"11,95%",--,"14,17%"
Varjão,GO,Varjão/GO,522190,3716,"35,12%",--,"43,49%"
Uirapuru,GO,Uirapuru/GO,522157,2798,"47,21%",--,"30,88%"
Turvelândia,GO,Turvelândia/GO,522155,4985,"21,89%",--,"30,63%"
Turvânia,GO,Turvânia/GO,522150,4480,"13,53%",--,--
Trombas,GO,Trombas/GO,522145,3120,0%,--,--
Três Ranchos,GO,Três Ranchos/GO,522130,2921,"12,43%",--,--
Teresina de Goiás,GO,Teresina de Goiás/GO,522108,2701,"6,70%",--,"22,25%"
Taquaral de Goiás,GO,Taquaral de Goiás/GO,522100,4026,"26,85%",--,"0,65%"
Sítio d'Abadia,GO,Sítio d'Abadia/GO,522070,2927,"63,20%",--,0%
Simolândia,GO,Simolândia/GO,522068,5742,"0,47%",--,"17,83%"
Serranópolis,GO,Serranópolis/GO,522050,8027,"18,69%",--,"24,01%"
São Patrício,GO,São Patrício/GO,522028,2143,"42,60%",--,"13,67%"
São Miguel do Passa Quatro,GO,São Miguel do Passa Quatro/GO,522026,4464,"48,48%",--,"11,07%"
São Luiz do Norte,GO,São Luiz do Norte/GO,522015,4837,"30,06%",--,"13,44%"
São João d'Aliança,GO,São João d'Aliança/GO,522000,14041,"33,29%",--,"47,36%"
São Francisco de Goiás,GO,São Francisco de Goiás/GO,521990,6378,"26,47%",--,"26,31%"
São Domingos,GO,São Domingos/GO,521980,9711,"29,69%",--,"38,32%"
Santo Antônio de Goiás,GO,Santo Antônio de Goiás/GO,521973,7386,"19,73%",--,"8,42%"
Santo Antônio da Barra,GO,Santo Antônio da Barra/GO,521971,4267,"11,16%",--,"23,41%"
Santa Terezinha de Goiás,GO,Santa Terezinha de Goiás/GO,521970,10645,"40,25%",--,--
Santa Tereza de Goiás,GO,Santa Tereza de Goiás/GO,521960,3293,"5,44%",--,"24,08%"
Santa Rosa de Goiás,GO,Santa Rosa de Goiás/GO,521950,2820,"30,21%",--,"25,53%"
Santa Rita do Novo Destino,GO,Santa Rita do Novo Destino/GO,521945,2689,"61,55%",--,"62,81%"
Santa Rita do Araguaia,GO,Santa Rita do Araguaia/GO,521940,5924,0%,--,"10,96%"
Santa Isabel,GO,Santa Isabel/GO,521935,3538,"59,16%",--,"63,20%"
Santa Fé de Goiás,GO,Santa Fé de Goiás/GO,521925,4951,"8,93%",--,"19,43%"
Santa Cruz de Goiás,GO,Santa Cruz de Goiás/GO,521920,3002,"68,32%",--,"67,69%"
Santa Bárbara de Goiás,GO,Santa Bárbara de Goiás/GO,521910,6149,"0,47%",--,"8,99%"
Rianápolis,GO,Rianápolis/GO,521870,3980,"0,20%",--,"14,42%"
Rialma,GO,Rialma/GO,521860,12165,"14,14%",--,"1,52%"
Professor Jamil,GO,Professor Jamil/GO,521839,3649,"35,79%",--,--
Portelândia,GO,Portelândia/GO,521810,3280,0%,--,"17,96%"
Porteirão,GO,Porteirão/GO,521805,4070,14%,--,"12,04%"
Piranhas,GO,Piranhas/GO,521720,11712,"24,24%",--,"20,72%"
Pilar de Goiás,GO,Pilar de Goiás/GO,521690,2328,"52,96%",--,"56,62%"
Petrolina de Goiás,GO,Petrolina de Goiás/GO,521680,9573,"28,39%",--,"40,93%"
Perolândia,GO,Perolândia/GO,521645,2964,"31,71%",--,"12,28%"
Panamá,GO,Panamá/GO,521600,2455,"8,27%",--,"8,27%"
Palminópolis,GO,Palminópolis/GO,521590,3851,"27,53%",--,"24,18%"
Palmelo,GO,Palmelo/GO,521580,2259,0%,--,0%
Palestina de Goiás,GO,Palestina de Goiás/GO,521565,3132,"26,88%",--,"27,62%"
Ouvidor,GO,Ouvidor/GO,521550,7200,"15,65%",--,"0,11%"
Ouro Verde de Goiás,GO,Ouro Verde de Goiás/GO,521540,4057,"35,03%",--,"33,45%"
Orizona,GO,Orizona/GO,521530,16399,"42,35%",--,"14,63%"
Novo Planalto,GO,Novo Planalto/GO,521525,3716,"18,43%",--,"34,93%"
Novo Brasil,GO,Novo Brasil/GO,521520,3527,"40,54%",--,"33,94%"
Nova Veneza,GO,Nova Veneza/GO,521500,9481,"7,17%",--,"16,57%"
Nova Roma,GO,Nova Roma/GO,521490,3076,--,--,--
Nova Iguaçu de Goiás,GO,Nova Iguaçu de Goiás/GO,521487,3010,"28,54%",--,--
Nova Glória,GO,Nova Glória/GO,521486,8310,"40,83%",--,"2,97%"
Nova Crixás,GO,Nova Crixás/GO,521483,12815,"33,20%",--,--
Nova Aurora,GO,Nova Aurora/GO,521480,2101,"1,76%",--,"9,09%"
Nova América,GO,Nova América/GO,521470,2337,"24,78%",--,"27,30%"
Nerópolis,GO,Nerópolis/GO,521450,31932,"12,08%",--,0%
Nazário,GO,Nazário/GO,521440,8189,"14,86%",--,"11,27%"
Mutunópolis,GO,Mutunópolis/GO,521410,3564,"27,61%",--,"33,81%"
Mundo Novo,GO,Mundo Novo/GO,521405,6189,"46,34%",--,"47,42%"
Mozarlândia,GO,Mozarlândia/GO,521400,14750,"22,59%",--,"5,99%"
Mossâmedes,GO,Mossâmedes/GO,521390,4654,"35,54%",--,"32,66%"
Morro Agudo de Goiás,GO,Morro Agudo de Goiás/GO,521385,2456,"32,86%",--,"0,65%"
Montividiu do Norte,GO,Montividiu do Norte/GO,521377,3779,"48,24%",--,"7,38%"
Monte Alegre de Goiás,GO,Monte Alegre de Goiás/GO,521350,6692,"45,70%",--,"59,37%"
Moiporá,GO,Moiporá/GO,521340,1685,"36,50%",--,"35,13%"
Maurilândia,GO,Maurilândia/GO,521300,10304,"6,02%",--,"9,29%"
Matrinchã,GO,Matrinchã/GO,521295,4042,"23,55%",--,"28,25%"
Marzagão,GO,Marzagão/GO,521290,2758,"27,30%",--,0%
Mambaí,GO,Mambaí/GO,521270,8124,"20,61%",--,"2,88%"
Mairipotaba,GO,Mairipotaba/GO,521260,2561,"37,17%",--,"49,24%"
Leopoldo de Bulhões,GO,Leopoldo de Bulhões/GO,521230,8745,"44,78%",--,0%
Jesúpolis,GO,Jesúpolis/GO,521205,2123,"3,77%",--,"20,63%"
Jaupaci,GO,Jaupaci/GO,521200,2924,"19,25%",--,--
Jandaia,GO,Jandaia/GO,521170,6272,"32,81%",--,"35,52%"
Ivolândia,GO,Ivolândia/GO,521160,2693,"45,30%",--,"53,58%"
Itarumã,GO,Itarumã/GO,521130,6101,"21,54%",--,"4,69%"
Itapirapuã,GO,Itapirapuã/GO,521100,8007,"44,30%",--,"0,25%"
Itapaci,GO,Itapaci/GO,521090,21087,0%,--,"7,69%"
Itajá,GO,Itajá/GO,521080,4380,"17,72%",--,"8,68%"
Itaguaru,GO,Itaguaru/GO,521060,4904,"7,48%",--,"12,09%"
Itaguari,GO,Itaguari/GO,521056,4963,"14,95%",--,"12,49%"
Israelândia,GO,Israelândia/GO,521030,2560,"11,48%",--,"22,62%"
Ipiranga de Goiás,GO,Ipiranga de Goiás/GO,521015,2919,"54,47%",--,"55,70%"
Ipameri,GO,Ipameri/GO,521010,25548,"16,89%",--,"16,89%"
Indiara,GO,Indiara/GO,520995,17061,"19,70%",--,"20,34%"
Inaciolândia,GO,Inaciolândia/GO,520993,5954,"9,56%",--,"15,45%"
Iaciara,GO,Iaciara/GO,520990,10584,0%,--,"4,21%"
Hidrolina,GO,Hidrolina/GO,520980,3545,"19,66%",--,"26,04%"
Hidrolândia,GO,Hidrolândia/GO,520970,27742,"58,85%",--,"49,54%"
Heitoraí,GO,Heitoraí/GO,520960,3354,"15,44%",--,"6,20%"
Guarinos,GO,Guarinos/GO,520945,2161,"22,21%",--,"57,43%"
Guarani de Goiás,GO,Guarani de Goiás/GO,520940,4085,"57,67%",--,"55,94%"
Guaraíta,GO,Guaraíta/GO,520929,2188,"38,71%",--,"39,85%"
Gouvelândia,GO,Gouvelândia/GO,520915,4390,"2,94%",--,"12,23%"
Goiandira,GO,Goiandira/GO,520850,4973,"0,28%",--,"12,95%"
Goianápolis,GO,Goianápolis/GO,520840,13967,"25,20%",--,"5,94%"
Divinópolis de Goiás,GO,Divinópolis de Goiás/GO,520830,4457,"21,23%",--,"10,25%"
Gameleira de Goiás,GO,Gameleira de Goiás/GO,520815,3456,"60,42%",--,--
Formoso,GO,Formoso/GO,520810,4660,"38,82%",--,"26,16%"
Flores de Goiás,GO,Flores de Goiás/GO,520790,13744,"71,37%",--,"77,77%"
Firminópolis,GO,Firminópolis/GO,520780,10419,"4,94%",--,"4,94%"
Fazenda Nova,GO,Fazenda Nova/GO,520760,5877,"33,38%",--,"35,34%"
Faina,GO,Faina/GO,520753,7070,"0,99%",--,"50,50%"
Estrela do Norte,GO,Estrela do Norte/GO,520750,3205,"6,99%",--,"12,23%"
Edealina,GO,Edealina/GO,520735,4001,"34,47%",--,"32,92%"
Doverlândia,GO,Doverlândia/GO,520725,6956,"30,61%",--,"38,63%"
Diorama,GO,Diorama/GO,520710,2062,"24,83%",--,"51,50%"
Davinópolis,GO,Davinópolis/GO,520690,1902,"22,98%",--,"35,65%"
Damolândia,GO,Damolândia/GO,520680,2724,"11,89%",--,"20,56%"
Damianópolis,GO,Damianópolis/GO,520670,3770,"49,20%",--,"28,38%"
Cumari,GO,Cumari/GO,520660,2927,"17,01%",--,--
Cromínia,GO,Cromínia/GO,520650,3883,"30,13%",--,"12,31%"
Crixás,GO,Crixás/GO,520640,17065,"20,13%",--,--
Cristianópolis,GO,Cristianópolis/GO,520630,3504,"26,74%",--,"11,42%"
Corumbá de Goiás,GO,Corumbá de Goiás/GO,520580,10562,"7,21%",--,"7,21%"
Córrego do Ouro,GO,Córrego do Ouro/GO,520570,2454,"36,39%",--,"8,15%"
Colinas do Sul,GO,Colinas do Sul/GO,520552,4030,--,--,"29,45%"
Cocalzinho de Goiás,GO,Cocalzinho de Goiás/GO,520551,25016,"30,09%",--,"64,46%"
Cezarina,GO,Cezarina/GO,520545,8090,"18,67%",--,"17,08%"
Cavalcante,GO,Cavalcante/GO,520530,9583,"47,41%",--,"37,39%"
Caturaí,GO,Caturaí/GO,520520,5184,"21,32%",--,0%
Castelândia,GO,Castelândia/GO,520505,2985,"0,23%",--,"8,31%"
Carmo do Rio Verde,GO,Carmo do Rio Verde/GO,520500,9710,"15,43%",--,"22,83%"
Campos Verdes,GO,Campos Verdes/GO,520495,4005,"24,34%",--,0%
Campo Limpo de Goiás,GO,Campo Limpo de Goiás/GO,520485,8081,"15,47%",--,1%
Campo Alegre de Goiás,GO,Campo Alegre de Goiás/GO,520480,7422,"21,37%",--,"26,03%"
Campinorte,GO,Campinorte/GO,520470,12510,"15,80%",--,"15,77%"
Campinaçu,GO,Campinaçu/GO,520465,3708,"39,97%",--,"40,59%"
Campestre de Goiás,GO,Campestre de Goiás/GO,520460,3755,"30,25%",--,"30,23%"
Caldazinha,GO,Caldazinha/GO,520455,4507,"49,74%",--,"40,76%"
Cachoeira de Goiás,GO,Cachoeira de Goiás/GO,520420,1405,"1,49%",--,--
Cabeceiras,GO,Cabeceiras/GO,520400,7560,"20,60%",--,"27,30%"
Buritinópolis,GO,Buritinópolis/GO,520396,3145,"38,89%",--,"7,15%"
Buriti de Goiás,GO,Buriti de Goiás/GO,520393,2732,"37,19%",--,"32,54%"
Brazabrantes,GO,Brazabrantes/GO,520360,3992,"38,98%",--,"0,28%"
Bonópolis,GO,Bonópolis/GO,520357,3299,"48,56%",--,"64,29%"
Bonfinópolis,GO,Bonfinópolis/GO,520355,10296,"8,91%",--,"8,31%"
Bom Jardim de Goiás,GO,Bom Jardim de Goiás/GO,520340,7826,"12,56%",--,"1,92%"
Barro Alto,GO,Barro Alto/GO,520320,10371,"19,78%",--,"22,19%"
Baliza,GO,Baliza/GO,520310,3351,"52,94%",--,"10,47%"
Avelinópolis,GO,Avelinópolis/GO,520280,2868,"34,03%",--,"13,88%"
Aurilândia,GO,Aurilândia/GO,520260,3284,"20,10%",--,--
Arenópolis,GO,Arenópolis/GO,520235,2946,"41,24%",--,"41,07%"
Aragoiânia,GO,Aragoiânia/GO,520180,11890,"40,78%",--,"31,03%"
Aragarças,GO,Aragarças/GO,520170,18390,"1,60%",--,13%
Aporé,GO,Aporé/GO,520150,4325,"33,18%",--,"65,32%"
Anhanguera,GO,Anhanguera/GO,520120,924,0%,--,0%
Amorinópolis,GO,Amorinópolis/GO,520090,3007,"31,86%",--,"33,49%"
Americano do Brasil,GO,Americano do Brasil/GO,520085,5259,"6,12%",--,"19,59%"
Amaralina,GO,Amaralina/GO,520082,3268,"61,57%",--,"62,76%"
Alto Paraíso de Goiás,GO,Alto Paraíso de Goiás/GO,520060,10306,"42,32%",--,"25,95%"
Aloândia,GO,Aloândia/GO,520050,1973,"9,43%",--,--
Alexânia,GO,Alexânia/GO,520030,27008,"12,68%",--,"12,23%"
Água Limpa,GO,Água Limpa/GO,520020,1858,"25,03%",--,"30,03%"
Água Fria de Goiás,GO,Água Fria de Goiás/GO,520017,4954,"52,02%",--,"53,01%"
Adelândia,GO,Adelândia/GO,520015,2297,"0,30%",--,"7,18%"
Nova Monte Verde,MT,Nova Monte Verde/MT,510895,8313,"78,95%",--,"44,86%"
Nova Maringá,MT,Nova Maringá/MT,510890,5846,"0,79%",--,"47,83%"
Nova Marilândia,MT,Nova Marilândia/MT,510885,3529,"31,91%",--,"26,89%"
Nova Guarita,MT,Nova Guarita/MT,510880,4590,"51,20%",--,"56,93%"
Vila Rica,MT,Vila Rica/MT,510860,19888,"49,72%",--,"19,55%"
Vera,MT,Vera/MT,510850,12800,"22,16%",--,"22,16%"
União do Sul,MT,União do Sul/MT,510830,3838,"36,06%",--,--
Torixoréu,MT,Torixoréu/MT,510820,4164,"34,89%",--,--
Tesouro,MT,Tesouro/MT,510810,3025,--,--,"27,60%"
Terra Nova do Norte,MT,Terra Nova do Norte/MT,510805,10616,"21,35%",--,"68,91%"
Tapurah,MT,Tapurah/MT,510800,14370,"8,48%",--,"34,31%"
Tabaporã,MT,Tabaporã/MT,510794,9818,"49,58%",--,"39,35%"
Serra Nova Dourada,MT,Serra Nova Dourada/MT,510788,1800,"40,72%",--,"40,72%"
Sapezal,MT,Sapezal/MT,510787,28944,"8,69%",--,"15,56%"
São Félix do Araguaia,MT,São Félix do Araguaia/MT,510785,13621,"16,42%",--,"51,41%"
Santo Antônio do Leverger,MT,Santo Antônio do Leverger/MT,510780,15246,"9,88%",--,"18,90%"
Santo Antônio do Leste,MT,Santo Antônio do Leste/MT,510779,4099,"26,69%",--,"40,23%"
Santa Terezinha,MT,Santa Terezinha/MT,510777,7596,"54,56%",--,"0,07%"
Santa Rita do Trivelato,MT,Santa Rita do Trivelato/MT,510776,3276,"30,01%",--,"46,43%"
Salto do Céu,MT,Salto do Céu/MT,510775,3679,"12,31%",--,"20,88%"
Santa Cruz do Xingu,MT,Santa Cruz do Xingu/MT,510774,2661,"42,09%",--,"42,09%"
Rosário Oeste,MT,Rosário Oeste/MT,510770,15453,--,--,--
Rondolândia,MT,Rondolândia/MT,510757,3505,"74,27%",--,"42,94%"
São Pedro da Cipa,MT,São Pedro da Cipa/MT,510740,4191,"1,65%",--,"12,41%"
São José do Xingu,MT,São José do Xingu/MT,510735,5964,--,--,--
São José do Rio Claro,MT,São José do Rio Claro/MT,510730,14911,"22,90%",--,"6,99%"
São José do Povo,MT,São José do Povo/MT,510729,2875,"45,67%",--,"56,17%"
Santa Carmem,MT,Santa Carmem/MT,510724,5374,"23,84%",--,"23,84%"
Rio Branco,MT,Rio Branco/MT,510720,4535,0%,--,"7,39%"
Ribeirão Cascalheira,MT,Ribeirão Cascalheira/MT,510718,10089,"45,69%",--,"38,15%"
Reserva do Cabaçal,MT,Reserva do Cabaçal/MT,510715,2122,"3,58%",--,"31,67%"
Querência,MT,Querência/MT,510706,26769,"7,54%",--,"7,74%"
Poxoréu,MT,Poxoréu/MT,510700,23283,--,--,"57,05%"
Porto Estrela,MT,Porto Estrela/MT,510685,3224,"36,97%",--,--
Porto dos Gaúchos,MT,Porto dos Gaúchos/MT,510680,5593,0%,--,"42,64%"
Porto Alegre do Norte,MT,Porto Alegre do Norte/MT,510677,12127,"25,79%",--,"57,28%"
Ponte Branca,MT,Ponte Branca/MT,510670,2008,"19,77%",--,"19,77%"
Pontal do Araguaia,MT,Pontal do Araguaia/MT,510665,6932,0%,--,"10,07%"
Poconé,MT,Poconé/MT,510650,31217,"29,61%",--,"20,51%"
Planalto da Serra,MT,Planalto da Serra/MT,510645,3166,--,--,"24,70%"
Novo Santo Antônio,MT,Novo Santo Antônio/MT,510631,2015,0%,--,"20,60%"
Paranatinga,MT,Paranatinga/MT,510630,26423,"24,04%",--,"21,79%"
Paranaíta,MT,Paranaíta/MT,510629,11671,"40,12%",--,0%
Novo Horizonte do Norte,MT,Novo Horizonte do Norte/MT,510627,3349,"27,89%",--,"41,77%"
Novo Mundo,MT,Novo Mundo/MT,510626,6520,"55,48%",--,"55,48%"
Nova Ubiratã,MT,Nova Ubiratã/MT,510624,11530,0%,--,"27,82%"
Nova Olímpia,MT,Nova Olímpia/MT,510623,16352,0%,--,"10,72%"
Nova Mutum,MT,Nova Mutum/MT,510622,55839,0%,--,"13,90%"
Nova Canaã do Norte,MT,Nova Canaã do Norte/MT,510621,11707,0%,--,"33,79%"
Nova Brasilândia,MT,Nova Brasilândia/MT,510620,3932,"25,10%",--,"25,84%"
Nova Santa Helena,MT,Nova Santa Helena/MT,510619,4239,"67,82%",--,"42,11%"
Nova Lacerda,MT,Nova Lacerda/MT,510618,6670,"43,61%",--,--
Nova Nazaré,MT,Nova Nazaré/MT,510617,4200,"62,88%",--,--
Nova Bandeirantes,MT,Nova Bandeirantes/MT,510615,13635,"31,79%",--,"68,36%"
Nossa Senhora do Livramento,MT,Nossa Senhora do Livramento/MT,510610,12940,"59,19%",--,"53,63%"
Nortelândia,MT,Nortelândia/MT,510600,5956,"20,05%",--,"20,05%"
Nobres,MT,Nobres/MT,510590,15492,--,--,"9,63%"
Marcelândia,MT,Marcelândia/MT,510558,11396,"8,88%",--,"15,79%"
Luciara,MT,Luciara/MT,510530,2509,"20,29%",--,"24,27%"
Lambari D'Oeste,MT,Lambari D'Oeste/MT,510523,4790,0%,--,"20,48%"
Juruena,MT,Juruena/MT,510517,10213,"13,64%",--,"42,72%"
Jangada,MT,Jangada/MT,510490,7426,"62,70%",--,"52,87%"
Jaciara,MT,Jaciara/MT,510480,28569,"6,50%",--,"13,88%"
Itiquira,MT,Itiquira/MT,510460,12236,"3,11%",--,"41,72%"
Itaúba,MT,Itaúba/MT,510455,5020,0%,--,"14,72%"
Itanhangá,MT,Itanhangá/MT,510454,7539,"13,78%",--,"46,40%"
Ipiranga do Norte,MT,Ipiranga do Norte/MT,510452,7815,"0,55%",--,"32,54%"
Indiavaí,MT,Indiavaí/MT,510450,2213,"57,07%",--,"32,22%"
Guiratinga,MT,Guiratinga/MT,510420,10966,--,--,--
Glória D'Oeste,MT,Glória D'Oeste/MT,510395,2905,"7,92%",--,"23,58%"
General Carneiro,MT,General Carneiro/MT,510390,6037,"13,86%",--,"59,60%"
Gaúcha do Norte,MT,Gaúcha do Norte/MT,510385,8642,--,--,--
Figueirópolis D'Oeste,MT,Figueirópolis D'Oeste/MT,510380,3187,--,--,"47,51%"
Feliz Natal,MT,Feliz Natal/MT,510370,10521,--,--,"25,49%"
Denise,MT,Denise/MT,510345,7014,"2,34%",--,"14,57%"
Curvelândia,MT,Curvelândia/MT,510343,4903,"36,12%",--,--
Cotriguaçu,MT,Cotriguaçu/MT,510337,11011,"94,55%",--,"66,61%"
Conquista D'Oeste,MT,Conquista D'Oeste/MT,510336,3760,"15,74%",--,"40,53%"
Comodoro,MT,Comodoro/MT,510330,18238,"23,02%",--,"17,75%"
Colniza,MT,Colniza/MT,510325,25766,"72,06%",--,"34,80%"
Cocalinho,MT,Cocalinho/MT,510310,6220,"39,23%",--,--
Chapada dos Guimarães,MT,Chapada dos Guimarães/MT,510300,18990,"0,31%",--,"23,64%"
Castanheira,MT,Castanheira/MT,510285,7506,"44,27%",--,"44,47%"
Carlinda,MT,Carlinda/MT,510279,10332,"59,16%",--,"50,25%"
Canarana,MT,Canarana/MT,510270,25858,"31,42%",--,"20,91%"
Campos de Júlio,MT,Campos de Júlio/MT,510268,8822,"20,20%",--,"20,20%"
Campo Novo do Parecis,MT,Campo Novo do Parecis/MT,510263,45899,"4,61%",--,"11,50%"
Campinápolis,MT,Campinápolis/MT,510260,15347,"38,62%",--,"66,62%"
Brasnorte,MT,Brasnorte/MT,510190,17004,0%,--,"2,21%"
Bom Jesus do Araguaia,MT,Bom Jesus do Araguaia/MT,510185,7280,--,--,"47,13%"
Barão de Melgaço,MT,Barão de Melgaço/MT,510160,7253,"54,96%",--,"54,96%"
Arenápolis,MT,Arenápolis/MT,510130,10576,"1,77%",--,"5,45%"
Araputanga,MT,Araputanga/MT,510125,14786,--,--,--
Araguainha,MT,Araguainha/MT,510120,1010,"14,85%",--,"14,85%"
Araguaiana,MT,Araguaiana/MT,510100,3795,"32,23%",--,"37,02%"
Apiacás,MT,Apiacás/MT,510080,8590,"41,99%",--,"18,84%"
Alto Taquari,MT,Alto Taquari/MT,510060,10904,"1,60%",--,"10,74%"
Alto Paraguai,MT,Alto Paraguai/MT,510050,8009,"11,50%",--,0%
Alto Garças,MT,Alto Garças/MT,510040,13052,"17,51%",--,"9,84%"
Alto Boa Vista,MT,Alto Boa Vista/MT,510035,5715,--,--,--
Acorizal,MT,Acorizal/MT,510010,5014,--,--,--
Taquarussu,MS,Taquarussu/MS,500797,3625,"30,79%",--,"30,07%"
Sonora,MS,Sonora/MS,500793,14516,"11,61%",--,"9,48%"
Selvíria,MS,Selvíria/MS,500780,8142,"28,62%",--,"26,31%"
Sete Quedas,MS,Sete Quedas/MS,500770,10994,"20,07%",--,"16,75%"
Rochedo,MS,Rochedo/MS,500750,5199,"39,76%",--,"46,14%"
Rio Negro,MS,Rio Negro/MS,500730,4841,"30,20%",--,"29,48%"
Paraíso das Águas,MS,Paraíso das Águas/MS,500627,5510,"3,70%",--,"18,33%"
Novo Horizonte do Sul,MS,Novo Horizonte do Sul/MS,500625,4721,"40,42%",--,"39,80%"
Mundo Novo,MS,Mundo Novo/MS,500568,19193,"13,40%",--,"16,64%"
Jaraguari,MS,Jaraguari/MS,500490,7139,"38,37%",--,"65,21%"
Ivinhema,MS,Ivinhema/MS,500470,27821,"17,76%",--,"16,93%"
Itaquiraí,MS,Itaquiraí/MS,500460,19423,"59,52%",--,"59,11%"
Bandeirantes,MS,Bandeirantes/MS,500150,7940,"0,19%",--,"0,19%"
Água Clara,MS,Água Clara/MS,500020,16741,"32,82%",--,0%
Westfália,RS,Westfália/RS,432377,3098,"0,06%",--,"59,55%"
Vitória das Missões,RS,Vitória das Missões/RS,432375,3260,--,--,"80,73%"
Vista Gaúcha,RS,Vista Gaúcha/RS,432370,2783,"64,07%",--,65%
Vista Alegre do Prata,RS,Vista Alegre do Prata/RS,432360,1590,"2,33%",--,"70,13%"
Vista Alegre,RS,Vista Alegre/RS,432350,2660,"53,95%",--,"58,23%"
Vila Maria,RS,Vila Maria/RS,432340,4413,"1,36%",--,0%
Vila Flores,RS,Vila Flores/RS,432330,3646,"54,28%",--,"38,70%"
Victor Graeff,RS,Victor Graeff/RS,432320,2780,"56,80%",--,"59,14%"
Vicente Dutra,RS,Vicente Dutra/RS,432310,4665,"56,81%",--,"42,77%"
Viadutos,RS,Viadutos/RS,432290,4769,"51,68%",--,"50,23%"
Vespasiano Corrêa,RS,Vespasiano Corrêa/RS,432285,1818,0%,--,67%
Vanini,RS,Vanini/RS,432255,2004,0%,--,0%
